word,definition
BMI,a measure of body fat based on height and weight
BPG,"a type of medicine the doctor can give you if you have had
rheumatic fever many times. this medicine helps your body
fight the sickness to stop your heart from getting more
sick, which can mean getting acute rheumatic fever (arf)
or rheumatic heart disease (rhd)."
CHD,coronary heart disease
COPD,"chronic obstructive pulmonary disease,"
CVA,stroke (cerebrovascular accident)
DNA,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
ECG,"a recording of the heartbeat that helps doctors check if
the heart is beating properly. it is made by putting dots
on the chest and arms and legs and connecting these to
a machine that records your heartbeat. getting an ecg
doesn’t hurt."
EKG,"heart test, test of your heart"
ESR,a blood test
FDA,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
H5N1,bird flu virus
HPAI,a dangerous bird flu
HPV,a virus that can cause cervical cancer
IDE,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
IND,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
LAB,"a type of medicine that helps your body fight sickness. the
doctor can give you this if you have had acute rheumatic
fever (arf) to stop your heard from getting more sick,
which can mean getting arf again, or rheumatic heart
disease (rhd). you can ask the doctor about how to make
the needle hurt less."
MRSA,bacteria that is resistant to antibiotics
NCI,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
NIH,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
OHRP,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
PRN,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
PTSD,right
RA,right
RBC,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
TID,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
UVA,"uv light, sunlight"
UVB,"uv light, sunlight"
abandon,"give up, leave, quit"
abbreviate,"cut, shorten"
abdomen,stomach
abdominal,having to do with the belly
abdominal cavity,"space in the belly where the stomach, intestines,
kidney, liver, gall bladder, pancreas, spleen, and ureters
are found"
abdominocentesis,use of needle or tube to drain fluid from the belly
abdominoperineal resection,"surgery to remove the middle and end of the large
intestine"
abdominoplasty,surgery to fix the stomach
abduct,"kidnap, seize"
abduction,movement away from the middle of the body
ability,skill
abolish,"do away wit, end, scrap"
abortion,the premature end of a pregnancy
abrasion,"scrape, scratch"
abruptio placentae,premature separation of the placenta from the mother
abscess,swelling filled with pus
absenteeism,missing work or school
absorb,"take up fluids, take in"
absorption,"take in, soak up"
abstinence,not having sexual intercourse
acapnia,decreased carbon dioxide in the blood
accelerate,"hurry, speed up"
acceptable,good; decent; capable
accessible,"at hand, in easy reach"
accommodate,"house, let stay with, give shelter, adjust, adapt"
accompany,go with
accomplish,"do, finish"
accordingly,"for these, so"
accumulate,"collect, pile up"
accurate,correct
acetabulum,"pocket in the hip bone that holds the top of the upper
leg bone"
acidosis,increase of acid in the blood
acknowledge,"admit, agree, concede"
acne,pimples
acoumeter,tool used to measure hearing
acoustic neuroma,growth in the ear canal
acquire,"buy, gain, get"
"acquired immunodeficiency syndrome
(aids)","illness that results in decreased ability of the body to
protect itself from other illnesses; development of the
disease or conditions associated with the disease results
from human immunodeficiency virus (hiv)"
acquit,"release, clear, free"
acromegaly,"a disease of adults in which the body makes too much
growth hormone"
actinic keratosis,"skin disease (bumps) caused by too much exposure to
the sun"
activated partial thromboplastin time,"a test of blood clotting time used to measure the ability
of the blood to clot"
acuity,"clearness, keenness"
acute,"sudden start, short term, quick"
addison's disease,"serious disorder in which there is decreased cortisol and
aldosterone in the body, resulting in weakness, low
blood pressure, and other serious problems"
additional,"added, extra, more"
adduction,movement toward the middle of the body
adenohypophysis,"gland in the brain that makes many hormones that
control body functions"
adenoidectomy,surgery to take out the adenoids
adenoiditis,pain and swelling of the adenoids
adenoids,infection-fighting glands in the back of the throat
adenomyosis,a growth of muscle in the uterus
adenopathy,swollen lymph nodes (glands)
adenotome,tool used to remove adenoids
adequate,reasonably good
adequate number,enough
adhere,"cling, stick"
adhesion,tissue stuck together
adipose,having to do with fat
adjacent,"beside, next to, near, touching"
adjuvant,"helpful, assisting, aiding"
adjuvant treatment,added treatment
administer,give (to)
administration (of),giving (of)
adrenal gland,a gland found over each kidney
adrenalectomy,surgery to remove an adrenal gland
adrenaline,"hormone made by the adrenal glands that speeds up
body organs and helps the body deal with stress"
adrenalitis,inflammation of one or both adrenal glands
adrenocortical hormone,"any of the hormones made by the outer layer of the
adrenal glands"
adrenocorticohyperplasia,increased growth of one or both adrenal glands
adrenocorticotropic hormone,"hormone made by the brain that activates the adrenal
glands"
adrenomegaly,increase in size of one or both adrenal glands
adrenopathy,disease of one or both adrenal glands
adverse,harmful
adverse effect/event/reaction,"harmful, bad side effect"
advise,"tell, warn, say"
advocacy,speaking o
advocate,"fight for, support, support person"
aerobic,needs oxygen
aerosol,spray
afferent,going toward the center area
affirm,agree with
affluent,"rich, well-to-do"
afterbirth,"material that provides nutrition for the unborn baby and
comes out after the baby is born"
aggravate,make wor
aggregate,taken toge
aggressive,"pushy, dangerous, gets worse fast"
airway,"tube through which air passes to enter and leave the
lungs"
airways,"windpipe, breathing, tubes that take air in from the"
akathisia,feeling of restlessness
alanine aminotransferase (alt),"substance in blood that is measured to check for liver
disease"
albino,white; lacking color
albuminuria,protein in the urine
alcohol,"drug found in whisky, wine, and beer that slows down
the central nervous system"
aldosterone,"hormone made by the adrenal glands that controls the
amount of mineral salts in the body"
alienate,"push away, put by itself, turn away from, set apart"
allegiance,loyalty
allergen,something like pollen that causes the body to react
allergic,"the body’s reaction to something, like pollen,"
allergic reaction,"rash, trouble breathing"
allergist,doctor who treats allergies
allergy,over sensitivity to a substance
alleviate,"ease, soften"
alopecia,hair loss
alpha-fetoprotein,"substance in blood that is measured to check for liver
cancer, testicular cancer, and spina bifida"
alteration,change
alternate,take turns
alternative,"choice, other"
altruistic donation,"giving something to someone. you might know them,
or not know them. you give it to them without getting
anything back."
alveoli,tiny air sacs in the lungs
alzheimer's disease,disorder that causes mental confusion
amalgamate,"combine, join, unite"
ambulate,walk
ambulate/ambulation/ambulatory,"walk, able to walk"
ambulatory,"walk-in, walking"
ameliorate,
amend,change
amenorrhea,when a woman has no menstrual period
amicable,"friendly, pleasant"
amiodarone,"a type of medicine that is used to treat problems with your
heart beat (called arrythmias)."
amnesia,memory loss
amniocentesis,"removal of some of the waters from around an unborn
baby for laboratory testing"
amniochorial,"having to do with the tissues that surround the unborn
baby"
amniography,"x-ray of the uterus (womb) and unborn baby taken after
putting a dye into the bag of waters"
amnion,tissue that covers the unborn baby
amnionitis,inflammation of the amnion
amniorrhea,leaking of waters from around the unborn baby
amniorrhexis,breaking of the amnion
amnioscope,"tool passed through the cervix to look at the amniotic
fluid and the unborn baby"
amniotic fluid,waters around the unborn baby
amniotic sac,bag of tissue that surrounds the unborn baby
amniotomy,"rupture of the membranes (breaking of the tissues
around the unborn baby)- done to start labor"
amphetamines,"drugs that speed up metabolism and decrease appetite
(""speed"")"
amyotrophic lateral sclerosis (als),"a disease of the nerves and muscles that causes
weakness"
anaerobic,needs lack of oxygen
anaesthesia/anaesthetic.,"a big, serious reaction to an allergy. a reaction of this
type can make you have problems with breathing, and
can cause death."
anal,having to do with the anus
analgesic,drug used to control pain
anaphylactic shock,"serious allergic reaction to a substance (e.g., food, drug)"
anaphylaxis,"serious, potentially life threatening allergic reaction"
androgen,male sex hormone
anemia,decreased number of red blood cells
anesthesia,loss of sensation or feeling
anesthetic,drug that is used to produce loss of pain sensation
anesthetic (general),medication used to stop pain by putting you to sleep
anesthetic (local),"medication used to decrease pain by numbing an area of
your body"
anesthetic (regional),"medication used to block pain from the muscle and the
skin"
aneurysm,"area where an artery is swollen like a sack because the
wall of the artery is weak"
aneurysmectomy,surgery to take out an aneurysm
angina/angina pectoris,"chest pain due to decreased oxygen being supplied to
the heart"
angiocarditis,"inflammation of the heart and the blood vessels
entering the heart"
angioma,growth made up of blood vessels or lymph vessels
angioplasm,cramp in the blood vessels
angioplasty,surgery to open up a narrow blood vessel
angiorrhaphy,stitching a blood vessel
angiostenosis,narrowing of the inside of a blood vessel
ankylosing spondylitis,inflammation of the spine causing pain and stiffness
ankylosis,joint stiffness
annual,"yearly, every year, once every year, once a year,"
annually,"yearly, every year, once every year, once a year,"
anonymous,"nameless, unknown"
anoplasty,surgery to fix the anus
anorexia,condition in which person will not eat; lack of appetite
anorexia nervosa,"mental disorder in which fear of getting fat results in
starvation and weight loss"
anoxia,no oxygen
antacid,"drug used to decrease acid in the stomach (e.g., tums,
rolaids)"
antagonize,"anger, offend"
antecubital.,in front of the elbow
antepartum,before childbirth
anterior,having to do with the front of the body
anterior and posterior colporrhaphy,surgery to fix weak muscles in the pelvic area
anterior lobe,front part of an organ
anterior lobe of the pituitary,"part of the pituitary gland that discharges many
hormones"
anti-inflammatory,"your body’s way to fight off infections, infection-"
antianginal,drug used to relieve chest pain
antiarrhythmic,drug used to restore the natural rhythm of the heart
antibiotic,"drug, medicine, drug that fights bacteria, infection-"
antibody,"your body’s way to fight off infections, infection-"
anticipate,expect
anticoagulant,drug used to thin blood
anticonvulsant,drug used to stop seizures
anticubital,area inside the elbow
antidiarrheal,drug used to stop diarrhea
antidiuretic hormone,"hormone made by the pituitary gland that helps the
kidneys keep water in the body by decreasing urine
formation"
antidote,substance used to treat allergic reactions
antiemetic,drug used to stop vomiting
antigen,"your body’s way to fight off infections, infection-"
antihistamine,drug used to treat allergic reaction
antilipidemic,a drug that decreases the level of fat(s) in the blood
