pair_id,para_id,sent_id,complex,label,simple,simp_sent_id,doc_pos,doc_quint,doc_len
CD012936,0,0,Three studies (146 participants) met our selection criteria.,rephrase,['Three studies involving 146 participants were included in this review.'],0,0.09090909090909091,1,11
CD012936,0,1,"Two studies compared multidisciplinary, fast-track palliative care versus multidisciplinary standard care while on a waiting-list control, and one study compared a multidisciplinary palliative approach versus multidisciplinary standard care at different time points (12, 16, and 24 weeks).",delete,[],1,0.18181818181818182,1,11
CD012936,0,2,Two were RCTs with parallel design (total 94 participants) and one was a cross-over design (52 participants).,delete,[],1,0.2727272727272727,2,11
CD012936,0,3,The three studies assessed palliative care as a home-based intervention.,split,"['All three studies compared palliative care delivered in home visits versus usual care for people with MS. Two studies included only participants with MS.', 'In all three studies, interventions focused on assessment and management of symptoms and end-of-life planning.']",1,0.36363636363636365,2,11
CD012936,0,4,"One of the three studies included participants with 'neurodegenerative diseases', with MS people being a subset of the randomised population.",rephrase,['The third study (Ne-PAL) included participants with MS and other neurodegenerative diseases.'],3,0.45454545454545453,3,11
CD012936,0,5,We assessed the risk of bias of included studies using Cochrane's 'Risk of Bias' tool.,delete,[],4,0.5454545454545454,3,11
CD012936,1,6,"We found no evidence of differences between intervention and control groups in long-time follow-up (> six months post-intervention) for the following outcomes: mean change in health-related quality of life (SEIQoL - higher scores mean better quality of life; MD 4.80, 95% CI -12.32 to 21.92; participants = 62; studies = 1; very low-certainty evidence), serious adverse events (RR 0.97, 95% CI 0.44 to 2.12; participants = 76; studies = 1, 22 events, low-certainty evidence) and hospital admission (RR 0.78, 95% CI 0.24 to 2.52; participants = 76; studies = 1, 10 events, low-certainty evidence).",delete,[],4,0.6363636363636364,4,11
CD012936,2,7,"The three included studies did not assess the following outcomes at long term follow-up (> six months post intervention): fatigue, anxiety, depression, disability, cognitive function, relapse-free survival, and sustained progression-free survival.",rephrase,"['The included studies did not assess fatigue, cognitive function, relapse-free survival or sustained progression-free survival.']",4,0.7272727272727273,4,11
CD012936,3,8,We did not find any trial that compared different types of palliative care with each other.,ignore,['We did not find studies that compared different types of palliative care with each other.'],5,0.8181818181818182,5,11
CD012936,4,9,"Based on the findings of the RCTs included in this review, we are uncertain whether palliative care interventions are beneficial for people with MS.",rephrase,['We are uncertain whether palliative care interventions are beneficial for people with MS.'],6,0.9090909090909091,5,11
CD012936,4,10,"There is low- or very low-certainty evidence regarding the difference between palliative care interventions versus usual care for long-term health-related quality of life, adverse events, and hospital admission in patients with MS. For intermediate-term follow-up, we are also uncertain about the effects of palliative care for the outcomes: health-related quality of life (measured by different assessments: SEIQoL or MSIS), disability, anxiety, and depression.",rephrase,"['There is low- or very low-certainty evidence regarding the difference between palliative care interventions versus usual care for long-term health-related quality of life, adverse events and hospital admission.']",7,1.0,5,11
CD009102,0,0,"We included five trials, in which 1406 infants participated.",rephrase,['We found five studies that involved 1406 babies whose breathing was supported with a nasal interface compared to a face mask in the delivery room.'],0,0.07692307692307693,1,13
CD009102,0,1,They were conducted in 13 neonatal centres across Europe and Australia.,rephrase,['The studies were conducted in high-income countries across Europe and Australia; the largest study included 617 babies and the smallest included 36 babies.'],1,0.15384615384615385,1,13
CD009102,0,2,Each of these trials compared a nasal interface to a face mask for the delivery of respiratory support to newborn infants in the DR.,rephrase,"['We wanted to find out if giving breathing support to babies through their nose (using a nasal prong, a tube that fits into one or both nostrils, or a nasal mask, a mask placed over the nose) would result in less death, intubations, and complications after birth, compared with a face mask or a laryngeal mask airway; or if one type of nasal interface was better than another for the same results.']",2,0.23076923076923078,2,13
CD009102,0,3,Potential sources of bias were a lack of blinding to treatment allocation of the caregivers and investigators in all trials.,delete,[],3,0.3076923076923077,2,13
CD009102,1,4,"The evidence suggests that resuscitation with a nasal interface in the DR, compared with a face mask, may have little to no effect on reducing death before discharge (typical risk ratio (RR) 0.72, 95% CI 0.47 to 1.13; 3 studies, 1124 infants; low-certainty evidence).",rephrase,"['We found that giving breathing support with a nasal interface in the delivery room may have little to no effect on the rate of death before discharge, compared to a face mask.']",3,0.38461538461538464,2,13
